Name,Friendly Name,Device Type,Company Name,Company Friendly Name,Site Name,Site Friendly Name,OS,OS Architecture,OS Language,IP Address,External IP Address,System Domain Role,Device Serial Number,Installed Date,System Model,Processor,Processor Type,Number Of Processors,Number of Cores,RAM (GB),Disk Manufacturer/Model,Disk Interface Type,Disk Volume (GB),Partitions,BIOS Version,BIOS Manufacturer,BIOS Serial No,Bios Product,Base Board Manufacturer,Device Time Zone,Last Check Date
gjackson,gjackson,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),192.168.1.189,41.132.67.243,Standalone Workstation,JHRQ324,10/14/2024 12:10 pm,Vostro 14 3430,13th Gen Intel(R) Core(TM) i7-1355U,Central Processor,1,10,16.00,(Standard disk drives) / NVMe SM2P41C3 NVMe ADATA 512GB,SCSI,476.94,5,1.20.0,Dell Inc.,JHRQ324,BIOS Date: 03/26/2025 Ver: 1.20.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 09:17 am
marcia-bdr-sa,marcia-bdr-sa,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),"10.10.2.37, 10.70.1.178",41.132.67.243,Standalone Workstation,545NFX3,10/14/2024 12:10 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.21.0,Dell Inc.,545NFX3,BIOS Date: 03/26/2025 Ver: 1.21.0,Dell Inc.,(UTC +0100) BST,07/21/2025 09:04 am
BDR-LARENDSE,BDR-LARENDSE,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),10.10.2.23,41.132.67.243,Standalone Workstation,498VKX3,02/14/2025 11:04 am,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.21.0,Dell Inc.,498VKX3,BIOS Date: 03/26/2025 Ver: 1.21.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 08:54 am
BDRCPT-FKNQ324,Adrian-PC,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),10.10.2.52,41.132.67.243,Standalone Workstation,FKNQ324,01/08/2025 11:14 am,Vostro 14 3430,13th Gen Intel(R) Core(TM) i7-1355U,Central Processor,1,10,16.00,(Standard disk drives) / NVMe SM2P41C3 NVMe ADATA 512GB,SCSI,476.94,5,1.18.0,Dell Inc.,FKNQ324,BIOS Date: 02/10/2025 Ver: 1.18.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 09:15 am
BDRCPT-B98VKX3,Amanda,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Business 24H2,64-bit,English (United States),10.10.2.22,41.132.67.243,Standalone Workstation,B98VKX3,10/14/2024 12:10 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.21.0,Dell Inc.,B98VKX3,BIOS Date: 03/26/2025 Ver: 1.21.0,Dell Inc.,(UTC +0200) SAST,07/18/2025 03:39 pm
WWEBER-BDR,WWEBER-BDR,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 23H2,64-bit,English (United States),"172.29.160.1, 169.254.84.148",41.132.67.243,Standalone Workstation,247QJX3,10/14/2024 12:10 pm,Latitude 3540,13th Gen Intel(R) Core(TM) i5-1335U,Central Processor,1,10,40.00,(Standard disk drives) / NVMe BC901 NVMe SK hynix 256GB,SCSI,238.47,4,1.22.0,Dell Inc.,247QJX3,BIOS Date: 03/25/2025 Ver: 1.22.0,Dell Inc.,(UTC +0100) BST,07/21/2025 08:05 am
DESKTOP-DF5RVA9,DESKTOP-DF5RVA9,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),10.70.3.47,41.132.67.243,Standalone Workstation,1TTZ904,10/14/2024 12:10 pm,Vostro 14 3430,13th Gen Intel(R) Core(TM) i7-1355U,Central Processor,1,10,16.00,(Standard disk drives) / NVMe PM9B1 NVMe Samsung 512GB,SCSI,476.94,5,1.18.0,Dell Inc.,1TTZ904,BIOS Date: 02/10/2025 Ver: 1.18.0,Dell Inc.,(UTC +0100) BST,07/21/2025 09:05 am
DESKTOP-LT0KH8Q,DESKTOP-LT0KH8Q,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),192.168.1.10,41.132.67.243,Standalone Workstation,3H0G1Z3,01/07/2025 03:27 pm,Vostro 14 3430,13th Gen Intel(R) Core(TM) i5-1335U,Central Processor,1,10,16.00,(Standard disk drives) / NVMe BC901 NVMe SK hynix 512GB,SCSI,476.94,5,1.20.0,Dell Inc.,3H0G1Z3,BIOS Date: 03/26/2025 Ver: 1.20.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 09:01 am
CPT-CJacobs,CPT-CJacobs,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Pro 24H2,64-bit,English (United States),192.168.1.210,41.132.67.243,Standalone Workstation,4LYTKX3,01/07/2025 02:54 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,16.00,(Standard disk drives) / NVMe PM9B1 NVMe Samsung 512GB,SCSI,476.94,5,1.20.0,Dell Inc.,4LYTKX3,BIOS Date: 02/07/2025 Ver: 1.20.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 08:38 am
graven-bdr-sa,graven-bdr-sa,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),172.19.128.1,41.132.67.243,Standalone Workstation,BJ6QJX3,01/07/2025 01:24 pm,Latitude 3540,13th Gen Intel(R) Core(TM) i5-1335U,Central Processor,1,10,40.00,(Standard disk drives) / NVMe BC901 NVMe SK hynix 256GB,SCSI,238.47,4,1.22.0,Dell Inc.,BJ6QJX3,BIOS Date: 03/25/2025 Ver: 1.22.0,Dell Inc.,(UTC +0200) SAST,07/16/2025 09:32 am
